Species,Suborder,Family,Tooth,Diet,Killing.technique,Anterior,Posterior,Lingual,Labial,Tip.Av,PC1,PC2
Ailuropoda_melanoleuca,Caniform,Ursidae,Lower,Plant,Rarely,19.839,14.383,14.478,20.889,15.746,-0.246743214,0.012299035
Ailurus_fulgens,Caniform,Ailuridae,Lower,Plant,Rarely,19.564,16.169,18.198,17.55,14.633,-0.081774369,0.044792483
Atilax_paludinosus,Feliform,Herpestidae,Lower,Invert.aquatic,Head.bite,19.164,14.919,17.497,21.336,16.861,-0.099946173,0.068567127
Bdeogale_jacksoni,Feliform,Herpestidae,Lower,Invert.terrestrial,Invert.feeder,14.283,14.309,22.057,21.425,14.294,-0.035316281,0.007577905
Canis_aureus,Caniform,Canidae,Lower,Meat,Shake.tear,22.79,14.058,15.44,20.014,15.82685723,0.029180232,-0.019667434
Canis_dingo,Caniform,Canidae,Lower,Meat,Shake.tear,20.72133333,16.37666667,15.58066667,21.89633333,15.77455278,-0.037790787,0.001215766
Canis_latrans,Caniform,Canidae,Lower,Meat,Shake.tear,22.04266667,14.66366667,14.429,20.847,15.279717,0.038137968,0.038191861
Canis_mesomelas,Caniform,Canidae,Lower,Meat,Shake.tear,20.696,14.208,14.205,21.478,15.72910423,0.052925662,0.054904311
Conepatus_leuconotus,Caniform,Mephitidae,Lower,Invert.terrestrial,Invert.feeder,18.759,18.129,22.327,20.078,16.128,-0.083515351,-0.030574768
Crocuta_crocuta,Feliform,Hyaenidae,Lower,Carrion.bone,Tear,20.771,12.46,14.202,21.532,13.433,-0.04375662,0.029592632
Dasyurus_geoffroii,Marsupial,Dasyuridae,Lower,Generalist,Head.bite,20.531,15.736,23.111,20.396,14.859,-0.035811712,-0.008837542
Dasyurus_hallucatus,Marsupial,Dasyuridae,Lower,Generalist,Head.bite,18.47,14.541,21.657,20.319,15.821,-0.05323766,-0.013691823
Dasyurus_maculatus,Marsupial,Dasyuridae,Lower,Meat,Nape.throat,20.829,14.749,17.283,19.317,13.953,-0.020312222,-0.002684869
Didelphis_albiventris,Marsupial,Didelphidae,Lower,Invert.terrestrial,Invert.feeder,18.123,17.557,22.132,22.124,14.487,-0.127347259,0.024331612
Didelphis_marsupialis,Marsupial,Didelphidae,Lower,Generalist,NA,17.408,15.937,22.975,21.875,16.532,-0.107509401,0.012491883
Didelphis_virginiana,Marsupial,Didelphidae,Lower,Generalist,NA,18.9575,18.7335,22.252,21.356,16.521,-0.034943938,0.00116021
Eira_barbara,Caniform,Mustelidae,Lower,Generalist,NA,19.332,16.288,17.09,19.525,14.805,-0.045771507,0.053124723
Gulo_gulo,Caniform,Mustelidae,Lower,Carrion.bone,Head.bite,20.437,21.453,12.888,23.491,16.745,-0.147186441,-0.020182681
Herpestes_ichneumon,Feliform,Herpestidae,Lower,Meat,Head.bite,19.43,15.532,18.473,20.578,17.682,-0.12148808,0.038473631
Herpestes_urva,Feliform,Herpestidae,Lower,Invert.aquatic,Invert.feeder,20.32533333,17.14466667,16.76066667,19.86,16.13233333,-0.060812261,0.035338875
Hyaena_hyaena,Feliform,Hyaenidae,Lower,Carrion.bone,Tear,21.297,13.586,14.8455,20.611,14.881,-0.024392943,0.042653886
Ichneumia_albicauda,Feliform,Herpestidae,Lower,Invert.terrestrial,Invert.feeder,19.488,15.618,17.578,21.221,16.47,-0.008472082,0.039264275
Lutra_lutra,Caniform,Mustelidae,Lower,Meat,Invert.feeder,18.6,20.719,14.759,23.254,15.017,-0.067369126,-0.004690697
Lycaon_pictus,Caniform,Canidae,Lower,Meat.bone,Tear,22.165,16.779,13.037,22.087,15.30601702,0.011675913,-0.004967202
Lynx_canadensis,Feliform,Felidae,Lower,Meat,Nape.throat,20.0855,14.2025,17.4685,16.834,14.757,0.050976182,0.015262223
Lynx_rufus,Feliform,Felidae,Lower,Meat,Nape.throat,20.706,12.80366667,18.22266667,16.56266667,14.23033333,0.026775251,0.028877807
Martes_americana,Caniform,Mustelidae,Lower,Meat,Head.bite,20.469,18.165,14.549,19.543,15.911,0.008079327,0.046330438
Martes_pennanti,Caniform,Mustelidae,Lower,Meat,Head.bite,18.394,17.122,16.407,21.286,15.335,-0.004314294,0.037395677
Meles_meles,Caniform,Mustelidae,Lower,Generalist,Rarely,14.23,16.482,24.984,24.367,15.549,-0.130098841,-0.077369844
Mephitis_mephitis,Caniform,Mephitidae,Lower,Generalist,Head.bite,18.91,19.6685,22.9515,20.614,16.455,-0.048819565,0.013818225
Mungos_mungo,Feliform,Herpestidae,Lower,Invert.terrestrial,Invert.feeder,19.652,17.12633333,22.11966667,19.74366667,16.09566667,-0.039996959,0.022273287
Mustela_putorius,Caniform,Mustelidae,Lower,Meat,Head.bite,21.4665,20.9285,18.5725,20.798,15.9795,-0.049337025,0.019386952
Panthera_leo,Feliform,Felidae,Lower,Meat.bone,Nape.throat,19.149,11.8395,15.2905,19.605,13.43695512,-0.009194509,-0.007431878
Panthera_onca,Feliform,Felidae,Lower,Meat.bone,Nape.throat,20.03,17.028,15.476,18.555,13.83735966,0.022190762,0.015756311
Panthera_pardus,Feliform,Felidae,Lower,Meat.bone,Nape.throat,19.413,13.491,19.7925,18.8975,13.98255894,0.013350412,0.028137034
Panthera_tigris,Feliform,Felidae,Lower,Meat.bone,Nape.throat,19.63266667,14.276,20.29233333,19.96866667,13.68263448,-0.011508311,-0.015217949
Paradoxurus_hermaphroditus,Feliform,Viverridae,Lower,NA,NA,19.8705,14.1315,16.606,18.513,14.8295,-0.023275275,0.052451986
Pardofelis_marmorata,Feliform,Felidae,Lower,Meat,Nape.throat,18.945,14.619,19.111,16.515,13.775,-0.006757411,0.040466736
Procyon_cancrivorus,Caniform,Procyonidae,Lower,Invert.aquatic,NA,22.948,13.357,15.877,18.572,15.972,-0.070361675,-0.026040828
Procyon_lotor,Caniform,Procyonidae,Lower,Generalist,NA,21.196,13.9585,16.3505,22.606,15.1475,-0.013317625,-0.002308578
Sarcophilus_harrisii,Marsupial,Dasyuridae,Lower,Carrion.bone,Anterior,21.888,16.57033333,19.00633333,19.62,14.72733333,-0.066253717,0.04465321
Suricata_suricatta,Feliform,Herpestidae,Lower,Invert.terrestrial,Invert.feeder,19.762,14.847,20.4,18.101,15.296,-0.005420766,0.049981034
Taxidea_taxus,Caniform,Mustelidae,Lower,Meat,Anterior,19.061,20.909,20.661,15.69,14.484,0.024509331,-0.002833601
Thylacinus_cynocephalus,Marsupial,Thylacinidae,Lower,NA,NA,19.415,18.0525,22.9405,21.604,15.4295,-0.036675803,0.040338805
Ursus_americanus,Caniform,Ursidae,Lower,Generalist,Anterior,22.806,16.0005,15.208,21.9495,14.753,-0.027704006,0.003759241
Ursus_arctos,Caniform,Ursidae,Lower,Generalist,Anterior,20.947,17.6735,18.5785,22.7815,14.9555,-0.048287652,0.005416852
Ursus_maritimus,Caniform,Ursidae,Lower,Meat.bone,Anterior,20.733,17.9285,17.237,22.4485,14.58,-0.027475273,0.016369417
Viverra_tangalunga,Feliform,Viverridae,Lower,Generalist,Shake.toss,21.591,20.923,20.449,25.176,15.589,0.001749017,0.025908563
Viverra_zibetha,Feliform,Viverridae,Lower,Generalist,Shake.toss,20.506,14.335,18.513,24.593,15.179,-0.008313768,0.026982122
Vulpes_lagopus,Caniform,Canidae,Lower,Meat,Shake.toss,22.772,14.366,15.549,22.037,15.997,0.028930858,-0.021458603
Vulpes_vulpes,Caniform,Canidae,Lower,Meat,Shake.toss,21.50666667,14.83233333,15.489,21.37133333,14.94433333,0.068385908,0.039552603