Species,Anterior.SpMean,Posterior.SpMean,Lingual.SpMean,Labial.SpMean,Tip.Av.SpMean,Midline.length,log.Midline.length,Csize,Base.area,sqrt.Base.area,Lateral.width,Body.mass,GMSpM.PC1,GMSpM.PC2
Ailuropoda_melanoleuca,19.839,14.383,14.478,20.889,15.746,12.395,1.093246531,31.25255673,77.6272095,8.810630483,8.31,108400,-0.246743214,0.012299035
Ailurus_fulgens,19.564,16.169,18.198,17.55,14.633,7.482,0.874017704,15.98684077,14.6856955,3.832191997,3.96,4900,-0.081774369,0.044792483
Atilax_paludinosus,19.164,14.919,17.497,21.336,16.861,8.628,0.935910136,18.89039858,21.1722826,4.601334872,4.45,3300,-0.099946173,0.068567127
Bdeogale_jacksoni,14.283,14.309,22.057,21.425,14.294,7.312,0.864036183,15.39568529,11.3297143,3.365964097,3.05,2500,-0.035316281,0.007577905
Canis_aureus,22.79,14.058,15.44,20.014,15.82685723,10.182,1.007833093,20.48698164,17.668634,4.203407427,4.04,10345.2,0.029180232,-0.019667434
Canis_dingo,20.72133333,16.37666667,15.58066667,21.89633333,15.77455278,11.88666667,1.073068662,24.9947351,30.90436417,5.546948897,5.53,16800,-0.037790787,0.001215766
Canis_latrans,22.04266667,14.66366667,14.429,20.847,15.279717,13.48966667,1.129707626,26.91013877,29.0673942,5.382593341,5.296666667,13406.3,0.038137968,0.038191861
Canis_mesomelas,20.696,14.208,14.205,21.478,15.72910423,13.366,1.126001457,26.30414731,26.5254087,5.15028239,5.09,8500,0.052925662,0.054904311
Conepatus_leuconotus,18.759,18.129,22.327,20.078,16.128,5.461,0.737272177,12.02466924,8.51677641,2.91835166,2.93,3500,-0.083515351,-0.030574768
Crocuta_crocuta,20.771,12.46,14.202,21.532,13.433,18.816,1.274527304,39.70138413,81.6356681,9.035245879,9.45,62999.9,-0.04375662,0.029592632
Dasyurus_geoffroii,20.531,15.736,23.111,20.396,14.859,4.068,0.609380944,8.491693219,3.63623674,1.906891906,1.9,1100,-0.035811712,-0.008837542
Dasyurus_hallucatus,18.47,14.541,21.657,20.319,15.821,3.28,0.515873844,6.930578332,2.47977029,1.57472864,1.64,525,-0.05323766,-0.013691823
Dasyurus_maculatus,20.829,14.749,17.283,19.317,13.953,5.407,0.73295637,11.16841874,5.86536702,2.421851981,2.57,5500,-0.020312222,-0.002684869
Gulo_gulo,20.437,21.453,12.888,23.491,16.745,10.369,1.015736874,23.54161133,37.5031698,6.123983165,6.19,17012.55,-0.147186441,-0.020182681
Herpestes_ichneumon,19.43,15.532,18.473,20.578,17.682,5.561,0.745152895,12.41326395,9.05743796,3.009557768,2.93,5175,-0.12148808,0.038473631
Herpestes_urva,20.32533333,17.14466667,16.76066667,19.86,16.13233333,6.572666667,0.817450213,13.90505977,9.947667567,3.153960559,3.106666667,1863.2,-0.060812261,0.035338875
Hyaena_hyaena,21.297,13.586,14.8455,20.611,14.881,21.109,1.324440974,43.49345691,90.53464655,9.506525554,9.605,41705.1,-0.024392943,0.042653886
Ichneumia_albicauda,19.488,15.618,17.578,21.221,16.47,7.503,0.875234946,15.39496208,10.638772,3.261713047,3.05,3500,-0.008472082,0.039264275
Lutra_lutra,18.6,20.719,14.759,23.254,15.017,8.177,0.912593998,17.35072003,17.1002026,4.135239122,4.2,8785.133333,-0.067369126,-0.004690697
Lycaon_pictus,22.165,16.779,13.037,22.087,15.30601702,13.762,1.138681554,28.15423018,34.8652244,5.904678179,5.97,22050.1,0.011675913,-0.004967202
Lynx_canadensis,20.0855,14.2025,17.4685,16.834,14.757,13.379,1.123323128,26.28663135,29.0380006,5.279038322,5.2,9373.2,0.050976182,0.015262223
Lynx_rufus,20.706,12.80366667,18.22266667,16.56266667,14.23033333,10.77533333,1.03135076,21.55289548,20.18864793,4.487483774,4.593333333,8904.1,0.026775251,0.028877807
Martes_americana,20.469,18.165,14.549,19.543,15.911,5.958,0.775100499,12.06053354,6.27971781,2.505936514,2.47,1250,0.008079327,0.046330438
Martes_pennanti,18.394,17.122,16.407,21.286,15.335,9.268,0.966986025,18.8027696,15.785292,3.973070853,3.85,4000,-0.004314294,0.037395677
Meles_meles,14.23,16.482,24.984,24.367,15.549,6.296,0.799064719,14.29718461,13.2495263,3.639989876,3.26,13000,-0.130098841,-0.077369844
Mephitis_mephitis,18.91,19.6685,22.9515,20.614,16.455,4.624,0.656478938,9.655181921,4.759451865,2.172448674,2.09,2085,-0.048819565,0.013818225
Mungos_mungo,19.652,17.12633333,22.11966667,19.74366667,16.09566667,4.507333333,0.653684108,9.42410954,4.20089783,2.049271569,2.026666667,1925,-0.039996959,0.022273287
Mustela_putorius,21.4665,20.9285,18.5725,20.798,15.9795,3.821,0.577861467,8.011408784,3.46090472,1.854079355,2.04,915.4,-0.049337025,0.019386952
Panthera_leo,19.149,11.8395,15.2905,19.605,13.43695512,26.2395,1.418933155,53.62212198,137.744255,11.73603705,11.96,161499.1,-0.009194509,-0.007431878
Panthera_onca,20.03,17.028,15.476,18.555,13.83735966,18.182,1.259641653,36.28759094,58.0494767,7.619020718,7.63,1.00E+05,0.022190762,0.015756311
Panthera_pardus,19.413,13.491,19.7925,18.8975,13.98255894,18.0935,1.256252947,36.52775136,59.68649005,7.697622064,7.885,52038.23333,0.013350412,0.028137034
Panthera_tigris,19.63266667,14.276,20.29233333,19.96866667,13.68263448,28.22766667,1.446135062,58.04870763,165.749887,12.80920278,13.26333333,162564,-0.011508311,-0.015217949
Pardofelis_marmorata,18.945,14.619,19.111,16.515,13.775,8.886,0.948706309,18.15297225,15.9384238,3.992295555,3.97,2854.25,-0.006757411,0.040466736
Sarcophilus_harrisii,21.888,16.57033333,19.00633333,19.62,14.72733333,12.74566667,1.105332875,27.15981023,40.428366,6.357231073,6.806666667,10000,-0.066253717,0.04465321
Suricata_suricatta,19.762,14.847,20.4,18.101,15.296,5.209,0.716754357,10.69821136,5.28338524,2.298561559,2.37,725.5,-0.005420766,0.049981034
Taxidea_taxus,19.061,20.909,20.661,15.69,14.484,10.161,1.006936451,20.15870302,17.8851689,4.22908606,4.25,7107.6,0.024509331,-0.002833601
Ursus_americanus,22.806,16.0005,15.208,21.9495,14.753,20.372,1.308979074,42.31279899,94.70650545,9.727719256,9.79,99949.4,-0.027704006,0.003759241
Ursus_arctos,20.947,17.6735,18.5785,22.7815,14.9555,21.2595,1.326585523,51.95708174,140.0348005,11.77548703,11.675,172720.4,-0.048287652,0.005416852
Ursus_maritimus,20.733,17.9285,17.237,22.4485,14.58,28.3145,1.451210321,58.21099717,179.4149245,13.38572608,13.745,388750.35,-0.027475273,0.016369417
Viverra_tangalunga,21.591,20.923,20.449,25.176,15.589,7.554,0.87817698,15.31480555,10.5800735,3.252702492,3.25,8675,0.001749017,0.025908563
Viverra_zibetha,20.506,14.335,18.513,24.593,15.179,8.607,0.934851803,17.69233172,13.9429092,3.734020514,3.49,9500,-0.008313768,0.026982122
Vulpes_lagopus,22.772,14.366,15.549,22.037,15.997,7.928,0.899163641,15.94524861,9.94500239,3.153569785,3.4,4867.65,0.028930858,-0.021458603
Vulpes_vulpes,21.50666667,14.83233333,15.489,21.37133333,14.94433333,10.959,1.039481664,21.37271538,16.1696276,4.018630831,4.133333333,5603.75,0.068385908,0.039552603