Institution,Specimen,Suborder,Family,Species,Collector,Specimen.type,Tooth,Position,Killing.technique,Diet,Scan,Outlier,Sharpness.pair,Notes,Anterior,Posterior,Lingual,Labial,Sagittal.Tip,Lateral.Tip,Tip.Av,Midline.length,log.Midline.length,Csize,Base.area,sqrt.Base.area,Lateral.width,Body.mass
AM,AM45664,Feliform,Felidae,Panthera.tigris,Tahlia,Cast,Lower,Left,Nape.throat,Meat.bone,Laser.design,Y,N,Removed.from.sharpness.edges.bit.too.worn,19.27,15.777,20.796,20.901,14.974,12.998,13.98626532,30.461,1.483744157,62.23449465,183.263653,13.53749065,14.04,162564
AM,AM45664,Feliform,Felidae,Panthera.tigris,Tahlia,Cast,Lower,Right,Nape.throat,Meat.bone,Laser.design,Y,N,Removed.from.sharpness.edges.bit.too.worn,20.036,15.721,21.123,19.862,14.453,12.87,13.66123923,31.518,1.498558651,64.16064863,193.178086,13.89885197,14.34,162564
AM,AM45664,Feliform,Felidae,Panthera.tigris,Tahlia,Cast,Upper,Right,Nape.throat,Meat.bone,Laser.design,N,N,Removed.from.sharpness.edges.bit.too.worn,19.437,15.779,21.02,19.997,13.6,12.171,12.885,45.514,1.658145005,0,,0,,162564
Monash,MZRC2424,Feliform,Felidae,Panthera.tigris,Tahlia,Cast,Lower,Right,Nape.throat,Meat.bone,Artec,Y,N,,19.592,11.33,18.958,19.143,14.384,12.417,13.40039888,22.704,1.356102378,47.75097962,120.807922,10.99126571,11.41,162564
Monash,MZRC2424,Feliform,Felidae,Panthera.tigris,Tahlia,Cast,Upper,Right,Nape.throat,Meat.bone,Artec,N,N,Too.sharp,19.696,10.613,17.834,16.984,11.994,11.36,11.677,36.278,1.559643336,0,0,0,0,162564
NMNH,NMNH253289,Feliform,Felidae,Panthera.tigris,Tahlia,Cast,Upper,Right,Nape.throat,Meat.bone,Laser.design,Y,N,,19.732,11.082,18.053,19.124,14.359,13.027,13.693,38.114,1.58108453,74.83431908,208.275194,14.43174258,13.84,162564
NMNH,NMNH253293,Feliform,Felidae,Panthera.tigris,Tahlia,Cast,Upper,Right,Nape.throat,Meat.bone,Laser.design,Y,N,,19.621,11.367,18.597,19.066,14.461,12.637,13.549,40.556,1.608055114,78.90967374,225.687493,15.02289895,14.35,162564
MV,NMVC29874,Feliform,Felidae,Panthera.tigris,Tahlia,Natural,Lower,Right,Nape.throat,Meat.bone,Laser.design,N,N,"Removed.from.sharpness.edges.bit.too.worn,.tip.recon",20.309,15.792,15.405,18.868,16.253,15.628,15.94069711,26.247,1.419079671,0,0,0,0,162564
MV,NMVC29874,Feliform,Felidae,Panthera.tigris,Tahlia,Natural,Upper,Left,Nape.throat,Meat.bone,Laser.design,N,N,Removed.from.sharpness.edges.bit.too.worn,19.648,15.419,20.244,19.973,14.721,13.876,14.298,44.618,1.649510099,0,0,0,0,162564
AMNH,AMNH35529,Feliform,Felidae,Panthera.uncia,Tahlia,Cast,Upper,Right,Nape.throat,Meat.bone,Laser.design,Y,N,,20.932,12.763,18.877,18.341,12.887,12.75,12.818,24.891,1.396042345,47.92179252,80.0794114,8.948710041,8.98,44167
Smithsonian,NMNH123979,Feliform,Viverridae,Paradoxurus.hermaphroditus,Tahlia,Cast,Upper,Right,Unknown,Unknown,Laser.design,Y,N,,18.508,10.89,21.188,18.532,14.959,15.828,15.393,9.077,0.957942335,17.92201727,11.600812,3.405996477,3.03,3113.35
Smithsonian,NMNH258332,Feliform,Viverridae,Paradoxurus.hermaphroditus,Tahlia,Cast,Lower,Left,Unknown,Unknown,Laser.design,Y,Y,,20.017,13.155,13.554,18.945,14.319,14.461,14.39,7.804,0.892317261,16.16659631,12.4116033,3.523010545,3.21,3113.35
Smithsonian,NMNH258332,Feliform,Viverridae,Paradoxurus.hermaphroditus,Tahlia,Cast,Upper,Left,Unknown,Unknown,Laser.design,Y,Y,,21.321,12.1,19.214,17.165,15.261,14.49,14.875,9.132,0.960565903,18.46130413,13.6370533,3.692838109,3.49,3113.35
MV,NMVC54586,Feliform,Viverridae,Paradoxurus.hermaphroditus,Anastasia,Natural,Upper,Right,Unknown,Unknown,Laser.design,Y,N,,20.006,13.403,21.303,20.568,14.817,14.254,14.535,7.916,0.898505786,15.77353618,9.65345011,3.107000179,3,3113.35
MV,NMVR2751,Feliform,Viverridae,Paradoxurus.hermaphroditus,Anastasia,Natural,Lower,Right,Unknown,Unknown,Laser.design,Y,N,,19.724,15.108,19.658,18.081,15.489,15.049,15.269,7.734,0.888404168,15.84013385,11.5705769,3.401555071,2.91,3113.35
AM,AM38590,Feliform,Felidae,Pardofelis.marmorata,Tahlia,Cast,Lower,Left,Nape.throat,Meat,Laser.design,Y,Y,,18.945,14.619,19.111,16.515,13.751,13.798,13.775,8.886,0.948706309,18.15297225,15.9384238,3.992295555,3.97,2854.25
AM,AM38590,Feliform,Felidae,Pardofelis.marmorata,Tahlia,Cast,Upper,Right,Nape.throat,Meat,Laser.design,Y,Y,,20.953,13.442,16.198,17.277,14.516,14.739,14.627,10.359,1.015317833,20.63288018,17.493012,4.182464824,4.15,2854.25
NMNH,NMNH325000,Feliform,Felidae,Pardofelis.marmorata,Tahlia,Cast,Upper,Left,Nape.throat,Meat,Laser.design,Y,N,,20.514,12.754,14.217,19.945,14.496,13.997,14.246,9.94,0.997386384,19.58360327,14.5330561,3.812224561,3.74,2854.25
Smithsonian,NMNH281518,Caniform,Procyonidae,Procyon.cancrivorous,Tahlia,Cast,Upper,Left,Unknown,Invert.aquatic,Laser.design,Y,N,,12.813,12.913,20.217,20.653,13.276,15.444,14.36,11.966,1.077948999,23.96121839,26.3605533,5.134252945,5.31,6949.9
Smithsonian,NMNH443521,Caniform,Procyonidae,Procyon.cancrivorous,Tahlia,Cast,Lower,Right,Unknown,Invert.aquatic,Laser.design,Y,Y,,22.948,13.357,15.877,18.572,16.791,15.152,15.972,10.488,1.020692679,22.54418278,28.7255651,5.359623597,5.64,6949.9
Smithsonian,NMNH443521,Caniform,Procyonidae,Procyon.cancrivorous,Tahlia,Cast,Upper,Left,Unknown,Invert.aquatic,Laser.design,Y,Y,,18.388,12.533,20.742,21.858,14.01,14.12,14.065,9.986,0.999391562,20.80552769,23.3409939,4.831251794,5.01,6949.9
AM,AM8330,Caniform,Procyonidae,Procyon.lotor,Tahlia,Cast,Upper,Right,Unknown,Generalist,Laser.design,Y,N,,13.354,12.688,21.636,20.616,15.191,13.155,14.173,10.069,1.002986341,20.0249437,16.2001566,4.024941813,3.99,5525
Monash,MZRC4337,Caniform,Procyonidae,Procyon.lotor,Anastasia,Natural,Lower,Left,Unknown,Generalist,Laser.design,Y,Y,,20.782,14.936,17.944,22.921,17.593,15.343,16.468,7.641,0.8831502,15.90093113,15.1270842,3.889355242,3.93,5525
Monash,MZRC4337,Caniform,Procyonidae,Procyon.lotor,Anastasia,Natural,Upper,Left,Unknown,Generalist,Laser.design,Y,Y,,14.801,12.929,22.24,20.599,15.443,15.117,15.28,9.762,0.989538803,19.26885471,12.1704529,3.48861762,3.31,5525
Smithsonian,NMNH265610,Caniform,Procyonidae,Procyon.lotor,Tahlia,Cast,Upper,Left,Unknown,Generalist,Laser.design,Y,N,,12.679,11.772,20.683,21.303,14.821,13.859,14.34,10.157,1.006765452,19.94131587,15.0938256,3.885077297,3.87,5525
Smithsonian,NMNH266111,Caniform,Procyonidae,Procyon.lotor,Tahlia,Cast,Lower,Right,Unknown,Generalist,Laser.design,Y,Y,Bit.worn,21.61,12.981,14.757,22.291,12.795,14.859,13.827,8.534,0.931152639,17.24029746,13.7591857,3.709337636,3.56,5525
Smithsonian,NMNH266111,Caniform,Procyonidae,Procyon.lotor,Tahlia,Cast,Upper,Right,Unknown,Generalist,Laser.design,Y,Y,,16.905,12.205,20.82,20.39,14.427,15.485,14.956,10.611,1.025756315,21.07806703,17.7552941,4.213703134,4.18,5525
NMNH,NMNH250168,Feliform,Felidae,Puma.concolor,Tahlia,Cast,Upper,Left,Nape.throat,Meat.bone,Laser.design,Y,N,,20.041,13.868,15.352,19.896,14.198,13.557,13.877,23.768,1.375992639,48.27660669,109.165185,10.44821444,10.79,51600
NMNH,NMNH251081,Feliform,Felidae,Puma.concolor,Tahlia,Cast,Upper,Left,Nape.throat,Meat.bone,Laser.design,Y,N,,20.335,13.671,14.996,22.225,12.875,12.889,12.882,23.453,1.370198404,47.32770342,106.111464,10.30104189,10.51,51600
NMNH,NMNH251418,Feliform,Felidae,Puma.concolor,Tahlia,Cast,Upper,Left,Nape.throat,Meat.bone,Laser.design,Y,N,,20.53,12.871,14.984,21.775,15.013,14.483,14.748,20.968,1.321557008,42.44474504,82.4519261,9.080304296,9.37,51600
MV,NMVC26044,Feliform,Felidae,Puma.concolor,Tahlia,Natural,Lower,Right,Nape.throat,Meat.bone,Laser.design,N,N,Repaired.edge,20.564,18.722,16.991,20.054,14.268,13.728,13.99793839,15.825,1.199343719,0,0,0,0,51600
MV,NMVC26044,Feliform,Felidae,Puma.concolor,Tahlia,Natural,Upper,Right,Nape.throat,Meat.bone,Laser.design,N,N,,19.829,19.399,15.782,21.053,14.784,13.744,14.264,18.621,1.270003,0,0,0,0,51600
AM,AMP698,Marsupial,Dasyuridae,Sarcophilus.harrisii,Tahlia,Cast,Lower,Left,Anterior,Carrion.bone,Laser.design,Y,N,,21.831,15.76,18.362,19.31,14.979,15.673,15.326,12.564,1.099127928,26.78110192,39.0153847,6.246229639,6.62,10000
AM,AMP700,Marsupial,Dasyuridae,Sarcophilus.harrisii,Tahlia,Cast,Upper,Right,Anterior,Carrion.bone,Laser.design,Y,N,,18.529,13.451,17.447,19.551,13.323,13.94,13.631,13.5,1.130333768,28.04040174,41.2942667,6.426061523,7.15,10000
AM,AMS1225,Marsupial,Dasyuridae,Sarcophilus.harrisii,Tahlia,Cast,Upper,Right,Anterior,Carrion.bone,Laser.design,Y,N,,19.762,16.883,16.081,19.658,14.999,15.791,15.395,13.565,1.132419798,28.17196211,41.7419194,6.460798666,7.43,10000
MV,NMVC6232,Marsupial,Dasyuridae,Sarcophilus.harrisii,Tahlia,Natural,Lower,Right,Anterior,Carrion.bone,Laser.design,Y,Y,Repaired.tip,21.186,18.391,18.594,19.497,13.588,15.01,14.299,12.929,1.111564935,27.63037562,42.5237807,6.521026047,7.02,10000
MV,NMVC6232,Marsupial,Dasyuridae,Sarcophilus.harrisii,Tahlia,Natural,Upper,Right,Anterior,Carrion.bone,Laser.design,Y,Y,Worn.tip,18.804,17.446,19.048,17.505,16.54,16.805,16.673,12.846,1.108767918,27.40293851,41.6729638,6.455459999,6.65,10000
MV,NMVC6246,Marsupial,Dasyuridae,Sarcophilus.harrisii,Tahlia,Natural,Lower,Right,Anterior,Carrion.bone,Laser.design,Y,Y,Repaired.tip,22.647,15.56,20.063,20.053,14.203,14.911,14.557,12.744,1.105305763,27.06795316,39.7459326,6.304437532,6.78,10000
MV,NMVC6246,Marsupial,Dasyuridae,Sarcophilus.harrisii,Tahlia,Natural,Upper,Right,Anterior,Carrion.bone,Laser.design,Y,Y,Repaired.tip,18.597,14.381,20.357,17.236,14.588,14.102,14.345,13.297,1.123753669,27.48695729,38.3799385,6.195154437,6.63,10000
MV,NMVR2454,Feliform,Herpestidae,Suricata.suricatta,Anastasia,Natural,Lower,Right,Invert.feeder,Invert.terrestrial,Laser.design,Y,N,,19.762,14.847,20.4,18.101,15.212,15.381,15.296,5.209,0.716754357,10.69821136,5.28338524,2.298561559,2.37,725.5
MV,NMVR2454,Feliform,Herpestidae,Suricata.suricatta,Anastasia,Natural,Upper,Left,Invert.feeder,Invert.terrestrial,Laser.design,Y,N,,18.736,15.553,21.811,19.868,14.361,15.135,14.748,5.293,0.723701894,10.53439753,4.44991292,2.109481671,2.01,725.5
Smithsonian,NMNH081896,Caniform,Mustelidae,Taxidea.taxus,Tahlia,Cast,Upper,Left,Anterior,Meat,Laser.design,Y,N,,19.92,15.817,20.872,21.836,12.93,13.884,13.407,9.868,0.994229141,20.17471734,20.2175791,4.496396235,4.36,7107.6
Smithsonian,NMNH525882,Caniform,Mustelidae,Taxidea.taxus,Tahlia,Cast,Lower,Right,Anterior,Meat,Laser.design,Y,Y,,19.061,20.909,20.661,15.69,14.664,14.303,14.484,10.161,1.006936451,20.15870302,17.8851689,4.22908606,4.25,7107.6
Smithsonian,NMNH525882,Caniform,Mustelidae,Taxidea.taxus,Tahlia,Cast,Upper,Left,Anterior,Meat,Laser.design,Y,Y,,15.764,16.802,21.015,21.737,14.048,14.178,14.113,9.741,0.988603543,19.54122329,17.5489642,4.189148386,4.19,7107.6
MV,NMVC2163,Marsupial,Thylacinidae,Thylacinus.cynocephalus,Anastasia,Natural,Upper,Left,Unknown,Unknown,Laser.design,Y,N,,18.551,18.792,21.542,22.017,17.55,17.037,17.294,16.876,1.227269517,34.07393226,51.5864379,7.182369936,6.99,30000
MV,NMVC5747,Marsupial,Thylacinidae,Thylacinus.cynocephalus,Anastasia,Natural,Lower,Right,Unknown,Unknown,Laser.design,Y,Y,,19.584,17.404,22.017,20.976,13.78,14.862,14.321,12.534,1.09808969,26.58222468,38.1372785,6.175538721,6.03,30000
MV,NMVC5747,Marsupial,Thylacinidae,Thylacinus.cynocephalus,Anastasia,Natural,Upper,Left,Unknown,Unknown,Laser.design,Y,Y,Worn.tip,17.545,19.278,21.899,22.187,17.068,15.62,16.344,18.434,1.265619583,36.77306634,58.5381092,7.651020141,7.39,30000
MV,NMVC5748,Marsupial,Thylacinidae,Thylacinus.cynocephalus,Anastasia,Natural,Lower,Left,Unknown,Unknown,Laser.design,Y,N,,19.246,18.701,23.864,22.232,15.981,17.095,16.538,12.106,1.08300067,24.77295921,27.4836406,5.242484201,5.23,30000
NMNH,NMNH209906,Caniform,Ursidae,Ursus.americanus,Tahlia,Cast,Lower,Right,Anterior,Generalist,Laser.design,Y,Y,,21.828,15.008,16.964,21.654,15.383,15.203,15.293,20.049,1.302092716,41.58287817,89.2734699,9.448463891,9.83,99949.4
NMNH,NMNH209906,Caniform,Ursidae,Ursus.americanus,Tahlia,Cast,Upper,Left,Anterior,Generalist,Laser.design,Y,Y,,18.599,13.579,18.61,22.078,16.157,15.024,15.591,22.698,1.355987592,45.97958716,99.0589416,9.952835857,9.92,99949.4
TMAG,TMAGA2349,Caniform,Ursidae,Ursus.americanus,Tahlia,Cast,Lower,Left,Anterior,Generalist,Laser.design,Y,Y,,23.784,16.993,13.452,22.245,14.578,13.848,14.213,20.695,1.315865431,43.04271981,100.139541,10.00697462,9.75,99949.4
TMAG,TMAGA2349,Caniform,Ursidae,Ursus.americanus,Tahlia,Cast,Upper,Left,Anterior,Generalist,Laser.design,Y,Y,,19.974,12.057,14.447,22.636,13.664,13.601,13.633,23.319,1.367709922,47.1974832,108.882746,10.43468955,10.25,99949.4
NMNH,NMNH232380,Caniform,Ursidae,Ursus.arctos,Tahlia,Cast,Lower,Left,Anterior,Generalist,Laser.design,Y,N,,20.263,17.974,18.847,22.906,15.667,14.946,15.306,22.677,1.3555856,61.16866255,167.627716,12.94711226,12.8,172720.4
NMNH,NMNH232380,Caniform,Ursidae,Ursus.arctos,Tahlia,Cast,Upper,Right,Anterior,Generalist,Laser.design,Y,N,,21.219,14.293,16.971,24.495,15.706,14.9,15.303,26.729,1.426982711,56.44193532,176.921592,13.30118762,12.99,172720.4
Smithsonian,NMNH232398,Caniform,Ursidae,Ursus.arctos,Tahlia,Cast,Lower,Left,Anterior,Generalist,Laser.design,Y,Y,,21.631,17.373,18.31,22.657,15.296,13.913,14.605,19.842,1.297585445,42.74550093,112.441885,10.6038618,10.55,172720.4
Smithsonian,NMNH232398,Caniform,Ursidae,Ursus.arctos,Tahlia,Cast,Upper,Right,Anterior,Generalist,Laser.design,Y,Y,,20.413,12.134,15.713,22.458,14.129,14.194,14.162,22.29,1.348110068,46.05905134,111.543615,10.56142107,10.46,172720.4
Smithsonian,NMNH233758,Caniform,Ursidae,Ursus.arctos,Tahlia,Cast,Upper,Right,Anterior,Generalist,Laser.design,Y,N,,20.799,14.811,17.932,22.253,15.912,15.493,15.702,24.095,1.381926931,49.81892608,127.169968,11.27696626,11.16,172720.4
Smithsonian,NMNH512120,Caniform,Ursidae,Ursus.maritimus,Tahlia,Cast,Upper,Left,Anterior,Meat.bone,Laser.design,Y,N,,20.284,15.156,16.891,23.271,14.283,14.098,14.19,31.515,1.498517311,64.69478413,224.139066,14.9712747,15.33,388750.35
Smithsonian,NMNH512143,Caniform,Ursidae,Ursus.maritimus,Tahlia,Cast,Lower,Right,Anterior,Meat.bone,Laser.design,Y,N,,21.101,17.808,17.867,22.419,15.598,15.089,15.343,26.599,1.424865309,55.25333179,166.374677,12.89863082,13.38,388750.35
NMNH,NMNH512148,Caniform,Ursidae,Ursus.maritimus,Tahlia,Cast,Lower,Right,Anterior,Meat.bone,Laser.design,Y,Y,,20.365,18.049,16.607,22.478,13.979,13.654,13.817,30.03,1.477555332,61.16866255,192.455172,13.87282134,14.11,388750.35
NMNH,NMNH512148,Caniform,Ursidae,Ursus.maritimus,Tahlia,Cast,Upper,Left,Anterior,Meat.bone,Laser.design,Y,Y,,20.123,14.02,17.162,21.984,14.224,14.094,14.159,33.478,1.524759505,67.74126578,228.221792,15.10701135,15.52,388750.35
Smithsonian,NMNH198706,Feliform,Viverridae,Viverra.tangalunga,Tahlia,Cast,Lower,Left,Shake.toss,Generalist,Laser.design,Y,Y,,21.591,20.923,20.449,25.176,15.706,15.472,15.589,7.554,0.87817698,15.31480555,10.5800735,3.252702492,3.25,8675
Smithsonian,NMNH198706,Feliform,Viverridae,Viverra.tangalunga,Tahlia,Cast,Upper,Left,Shake.toss,Generalist,Laser.design,Y,Y,,20.426,15.866,18.784,22.289,15.456,16.863,16.16,10.314,1.013427127,19.85093553,13.2759253,3.643614318,3.59,8675
Smithsonian,NMNH573587,Feliform,Viverridae,Viverra.tangalunga,Tahlia,Cast,Upper,Left,Shake.toss,Generalist,Laser.design,Y,N,Bit.worn.edge,19.525,11.826,15.883,22.379,14.347,15.018,14.683,8.792,0.944087679,17.22369356,11.1573082,3.340255709,3.32,8675
MV,NMVC1845,Feliform,Viverridae,Viverra.zibetha,Anastasia,Natural,Upper,Right,Shake.toss,Generalist,Laser.design,Y,N,,18.816,11.869,21.76,25.509,14.57,14.924,14.747,6.966,0.84298347,13.24337631,5.40239958,2.324306258,2.21,9500
AMNH,AMNH57055,Feliform,Viverridae,Viverra.zibetha,Tahlia,Cast,Lower,Left,Shake.toss,Generalist,Laser.design,Y,Y,,20.506,14.335,18.513,24.593,15.674,14.684,15.179,8.607,0.934851803,17.69233172,13.9429092,3.734020514,3.49,9500
AMNH,AMNH57055,Feliform,Viverridae,Viverra.zibetha,Tahlia,Cast,Upper,Left,Shake.toss,Generalist,Laser.design,Y,Y,,20.151,13.296,18.962,26.733,15.049,14.69,14.87,11.17,1.048053173,21.7346773,15.7042008,3.962852609,3.68,9500
AMNH,AMNH84410,Feliform,Viverridae,Viverra.zibetha,Tahlia,Cast,Upper,Right,Shake.toss,Generalist,Laser.design,Y,N,,18.877,11.162,17.235,21.7,14.818,14.189,14.504,11.702,1.068260094,22.88981276,18.2732105,4.274717593,4.03,9500
AM,AMS1523,Caniform,Canidae,Vulpes.lagopus,Tahlia,Cast,Lower,Left,Shake.toss,Meat,Laser.design,Y,N,,22.772,14.366,15.549,22.037,15.632,16.362,15.997,7.928,0.899163641,15.94524861,9.94500239,3.153569785,3.4,4867.65
MV,NMVC22619,Caniform,Canidae,Vulpes.vulpes,Anastasia,Natural,Lower,Right,Shake.toss,Meat,Laser.design,Y,N,,21.691,13.343,14.456,21.537,14.641,14.427,14.534,10.467,1.019822224,20.51866926,14.911878,3.861590087,3.95,5603.75
MV,NMVC25074,Caniform,Canidae,Vulpes.vulpes,Anastasia,Natural,Upper,Right,Shake.toss,Meat,Laser.design,Y,N,,20.949,13.507,15.942,22.783,15.672,14.358,15.015,16.056,1.205637359,30.08899027,24.9567044,4.995668564,4.57,5603.75
MV,NMVC25075,Caniform,Canidae,Vulpes.vulpes,Anastasia,Natural,Lower,Left,Shake.toss,Meat,Laser.design,Y,Y,,21.184,15.523,15.756,21.471,15.156,14.71,14.933,11.446,1.058653742,22.19202397,17.6906817,4.206029208,4.45,5603.75
MV,NMVC25075,Caniform,Canidae,Vulpes.vulpes,Anastasia,Natural,Upper,Left,Shake.toss,Meat,Laser.design,Y,Y,,20.179,15.779,17.47,21.243,14.699,13.758,14.228,14.985,1.175656747,27.98099419,21.7103757,4.659439419,4.45,5603.75
MV,NMVC25078,Caniform,Canidae,Vulpes.vulpes,Anastasia,Natural,Lower,Left,Shake.toss,Meat,Laser.design,Y,Y,,21.645,15.631,16.255,21.106,15.961,14.771,15.366,10.964,1.039969027,21.40745291,15.9063231,3.988273198,4,5603.75
MV,NMVC25078,Caniform,Canidae,Vulpes.vulpes,Anastasia,Natural,Upper,Left,Shake.toss,Meat,Laser.design,Y,Y,,18.413,15.163,16.074,23.988,15.6,14.082,14.841,16.357,1.213703654,30.49446081,23.4277239,4.840219406,4.46,5603.75