Species,Suborder,Family,Tooth,Diet
Acinonyx_jubatus,Feliform,Felidae,Upper,Meat.bone
Ailuropoda_melanoleuca,Caniform,Ursidae,Upper,Plant
Ailurus_fulgens,Caniform,Ailuridae,Upper,Plant
Atilax_paludinosus,Feliform,Herpestidae,Upper,Invert.aquatic
Bdeogale_jacksoni,Feliform,Herpestidae,Upper,Invert.terrestrial
Canis_aureus,Caniform,Canidae,Upper,Meat
Canis_latrans,Caniform,Canidae,Upper,Meat
Canis_mesomelas,Caniform,Canidae,Upper,Meat
Caracal_caracal,Feliform,Felidae,Upper,Meat
Civettictis_civetta,Feliform,Viverridae,Upper,Generalist
Conepatus_leuconotus,Caniform,Mephitidae,Upper,Invert.terrestrial
Crocuta_crocuta,Feliform,Hyaenidae,Upper,Carrion.bone
Dasyurus_geoffroii,Marsupial,Dasyuridae,Upper,Generalist
Dasyurus_hallucatus,Marsupial,Dasyuridae,Upper,Generalist
Dasyurus_maculatus,Marsupial,Dasyuridae,Upper,Meat
Dasyurus_viverrinus,Marsupial,Dasyuridae,Upper,Invert.terrestrial
Didelphis_marsupialis,Marsupial,Didelphidae,Upper,Generalist
Eira_barbara,Caniform,Mustelidae,Upper,Generalist
Gulo_gulo,Caniform,Mustelidae,Upper,Carrion.bone
Helarctos_malayanus,Caniform,Ursidae,Upper,Generalist
Herpestes_ichneumon,Feliform,Herpestidae,Upper,Meat
Herpestes_urva,Feliform,Herpestidae,Upper,Invert.aquatic
Hyaena_hyaena,Feliform,Hyaenidae,Upper,Carrion.bone
Ichneumia_albicauda,Feliform,Herpestidae,Upper,Invert.terrestrial
Leopardus_pardalis,Feliform,Felidae,Upper,Meat
Leptailurus_serval,Feliform,Felidae,Upper,Meat
Lutra_lutra,Caniform,Mustelidae,Upper,Meat
Lynx_rufus,Feliform,Felidae,Upper,Meat
Martes_americana,Caniform,Mustelidae,Upper,Meat
Martes_pennanti,Caniform,Mustelidae,Upper,Meat
Meles_meles,Caniform,Mustelidae,Upper,Generalist
Mellivora_capensis,Caniform,Mustelidae,Upper,Generalist
Mephitis_mephitis,Caniform,Mephitidae,Upper,Generalist
Mungos_mungo,Feliform,Herpestidae,Upper,Invert.terrestrial
Mustela_frenata,Caniform,Mustelidae,Upper,Meat
Neofelis_nebulosa,Feliform,Felidae,Upper,Meat
Panthera_leo,Feliform,Felidae,Upper,Meat.bone
Panthera_onca,Feliform,Felidae,Upper,Meat.bone
Panthera_pardus,Feliform,Felidae,Upper,Meat.bone
Panthera_tigris,Feliform,Felidae,Upper,Meat.bone
Uncia_uncia,Feliform,Felidae,Upper,Meat.bone
Pardofelis_marmorata,Feliform,Felidae,Upper,Meat
Procyon_cancrivorus,Caniform,Procyonidae,Upper,Invert.aquatic
Procyon_lotor,Caniform,Procyonidae,Upper,Generalist
Puma_concolor,Feliform,Felidae,Upper,Meat.bone
Sarcophilus_harrisii,Marsupial,Dasyuridae,Upper,Carrion.bone
Suricata_suricatta,Feliform,Herpestidae,Upper,Invert.terrestrial
Taxidea_taxus,Caniform,Mustelidae,Upper,Meat
Ursus_americanus,Caniform,Ursidae,Upper,Generalist
Ursus_arctos,Caniform,Ursidae,Upper,Generalist
Ursus_maritimus,Caniform,Ursidae,Upper,Meat.bone
Viverra_tangalunga,Feliform,Viverridae,Upper,Generalist
Viverra_zibetha,Feliform,Viverridae,Upper,Generalist
Vulpes_vulpes,Caniform,Canidae,Upper,Meat