Species,Suborder,Family,Tooth,Killing.technique
Acinonyx_jubatus,Feliform,Felidae,Upper,Nape.throat
Ailuropoda_melanoleuca,Caniform,Ursidae,Upper,Rarely
Ailurus_fulgens,Caniform,Ailuridae,Upper,Rarely
Atilax_paludinosus,Feliform,Herpestidae,Upper,Head.bite
Bdeogale_jacksoni,Feliform,Herpestidae,Upper,Invert.feeder
Canis_aureus,Caniform,Canidae,Upper,Shake.tear
Canis_latrans,Caniform,Canidae,Upper,Shake.tear
Canis_mesomelas,Caniform,Canidae,Upper,Shake.tear
Caracal_caracal,Feliform,Felidae,Upper,Nape.throat
Civettictis_civetta,Feliform,Viverridae,Upper,Shake.toss
Conepatus_leuconotus,Caniform,Mephitidae,Upper,Invert.feeder
Crocuta_crocuta,Feliform,Hyaenidae,Upper,Tear
Dasyurus_geoffroii,Marsupial,Dasyuridae,Upper,Head.bite
Dasyurus_hallucatus,Marsupial,Dasyuridae,Upper,Head.bite
Dasyurus_maculatus,Marsupial,Dasyuridae,Upper,Nape.throat
Dasyurus_viverrinus,Marsupial,Dasyuridae,Upper,Invert.feeder
Gulo_gulo,Caniform,Mustelidae,Upper,Head.bite
Helarctos_malayanus,Caniform,Ursidae,Upper,Rarely
Herpestes_ichneumon,Feliform,Herpestidae,Upper,Head.bite
Herpestes_urva,Feliform,Herpestidae,Upper,Invert.feeder
Hyaena_hyaena,Feliform,Hyaenidae,Upper,Tear
Ichneumia_albicauda,Feliform,Herpestidae,Upper,Invert.feeder
Leopardus_pardalis,Feliform,Felidae,Upper,Nape.throat
Leptailurus_serval,Feliform,Felidae,Upper,Nape.throat
Lutra_lutra,Caniform,Mustelidae,Upper,Invert.feeder
Lynx_rufus,Feliform,Felidae,Upper,Nape.throat
Martes_americana,Caniform,Mustelidae,Upper,Head.bite
Martes_pennanti,Caniform,Mustelidae,Upper,Head.bite
Meles_meles,Caniform,Mustelidae,Upper,Rarely
Mellivora_capensis,Caniform,Mustelidae,Upper,Invert.feeder
Mephitis_mephitis,Caniform,Mephitidae,Upper,Head.bite
Mungos_mungo,Feliform,Herpestidae,Upper,Invert.feeder
Mustela_frenata,Caniform,Mustelidae,Upper,Nape.throat
Neofelis_nebulosa,Feliform,Felidae,Upper,Nape.throat
Panthera_leo,Feliform,Felidae,Upper,Nape.throat
Panthera_onca,Feliform,Felidae,Upper,Nape.throat
Panthera_pardus,Feliform,Felidae,Upper,Nape.throat
Panthera_tigris,Feliform,Felidae,Upper,Nape.throat
Uncia_uncia,Feliform,Felidae,Upper,Nape.throat
Pardofelis_marmorata,Feliform,Felidae,Upper,Nape.throat
Puma_concolor,Feliform,Felidae,Upper,Nape.throat
Sarcophilus_harrisii,Marsupial,Dasyuridae,Upper,Anterior
Suricata_suricatta,Feliform,Herpestidae,Upper,Invert.feeder
Taxidea_taxus,Caniform,Mustelidae,Upper,Anterior
Ursus_americanus,Caniform,Ursidae,Upper,Anterior
Ursus_arctos,Caniform,Ursidae,Upper,Anterior
Ursus_maritimus,Caniform,Ursidae,Upper,Anterior
Viverra_tangalunga,Feliform,Viverridae,Upper,Shake.toss
Viverra_zibetha,Feliform,Viverridae,Upper,Shake.toss
Vulpes_vulpes,Caniform,Canidae,Upper,Shake.toss